,discriminator_loss,discriminator_xpred_loss,discriminator_yfake_loss,discriminator_yreal_loss,generator_loss,generator_xpred_loss,generator_yfake_loss,generator_yreal_loss,loss,val_discriminator_loss,val_discriminator_xpred_loss,val_discriminator_yfake_loss,val_discriminator_yreal_loss,val_generator_loss,val_generator_xpred_loss,val_generator_yfake_loss,val_generator_yreal_loss,val_loss
0,11.6665297699,0.114785964489,0.895176973343,0.702464709282,11.6482209778,0.114785964489,0.636729011536,0.777828507423,23.3147507477,8.99724769592,0.0882325768471,0.735378861427,0.722816646099,8.98833370209,0.0882325768471,0.686531245708,0.682527184486,17.9855804443
1,9.39253183365,0.092045661211,0.729510784149,0.868421440125,9.36177248001,0.092045661211,0.69356982708,0.596764354706,18.7543046188,8.9346370697,0.0872726291418,0.936975479126,0.854937374592,8.8686504364,0.0872726291418,0.544752240181,0.58730584383,17.8032875061
2,9.00698974609,0.0882462963462,0.694008193016,0.84771853447,8.98905910492,0.0882462963462,0.751444582939,0.610976099968,17.9960488892,8.58297729492,0.0844960808754,0.290590643883,0.761123299599,8.68890190125,0.0844960808754,1.42124676704,0.6897123456,17.2718791962
3,9.40483207703,0.0926730757952,0.54477473259,0.548424334526,9.49449935913,0.0926730757952,1.03873294711,0.951137676239,18.8993314362,9.83393287659,0.0961807146668,1.49259245396,0.383817493916,9.82016468048,0.0961807146668,0.328878074884,1.40985953808,19.6540985107
4,9.47378757477,0.0927938234806,1.18817796707,0.47365270853,9.47552452087,0.0927938234806,0.538445777893,1.14075431585,18.9493121338,7.88375759125,0.0775850638747,0.156625777483,0.813586592674,8.0626039505,0.0775850638747,2.03820919991,0.720494925976,15.9463615417
5,8.72540050507,0.0859025740623,0.298064641953,0.77106197834,8.86218479156,0.0859025740623,1.65053825617,0.786428649426,17.5875849915,9.72207164764,0.0948868617415,1.52479684353,0.526657700539,9.67784309387,0.0948868617415,0.346103012562,1.26306903362,19.3999137878
6,9.30089439392,0.0912122392654,0.966821575165,0.547475237846,9.3275686264,0.0912122392654,0.654291474819,1.12674702644,18.628462677,7.78595399857,0.0760416314006,1.12519168854,0.410206496716,7.83126449585,0.0760416314006,0.565388679504,1.42311644554,15.6172180176
7,8.76883045197,0.086070420742,0.728796181679,0.606559476852,8.85500972748,0.086070420742,1.08422126293,1.11292636395,17.6238401794,7.94233798981,0.0773927718401,1.03560245037,0.712425231934,7.95335817337,0.0773927718401,0.763595342636,1.09463167191,15.89569664
8,8.75929737091,0.0856652957201,0.857626514435,0.787485091686,8.79338928223,0.0856652957201,0.945470366478,1.0405579114,17.5526869202,7.8552107811,0.0767907351255,0.753801226616,0.724876105785,7.90990877151,0.0767907351255,0.998953640461,1.02670431137,15.7651195526
9,8.620194664,0.0840143927932,1.09652384758,0.808323020935,8.59966445923,0.0840143927932,0.704465539455,0.99507750988,17.2198591232,7.6003446579,0.0730185359716,1.59487950802,1.10721516609,7.4190030098,0.0730185359716,0.324789226055,0.563888907433,15.0193481445
10,7.99051954269,0.0770643247664,1.35119013548,1.20685015202,7.83704288483,0.0770643247664,0.52043910265,0.502831690311,15.8275622559,6.83270645142,0.0662210732698,0.680063068867,1.14299499989,6.77548503876,0.0662210732698,0.817889332771,0.432954221964,13.6081914902
11,7.22992401123,0.0702569532394,0.636040313244,1.12328808784,7.18713182449,0.0702569532394,0.871923913956,0.459480657578,14.4170556641,6.2435336113,0.0610134117305,0.275601416826,0.863272845745,6.37331199646,0.0610134117305,1.84603309631,0.590626120567,12.6168460846
12,6.52812458038,0.0638680228591,0.291852200031,0.838287899494,6.64527122498,0.0638680228591,1.7016134119,0.599995148182,13.1733961105,5.5704870224,0.0546209812164,0.274410307407,0.526307404041,5.76962852478,0.0546209812164,1.82253360748,0.969601273537,11.3401155472
13,5.8336730957,0.0572682520747,0.334601935148,0.450681060553,6.02465768814,0.0572682520747,1.60217794895,1.09295174599,11.8583309174,5.44524621964,0.0534718222916,0.401953607798,0.295384973288,5.71507501602,0.0534718222916,1.86937105656,1.52625334263,11.1603212357
14,5.78958120346,0.056898277998,0.45598241806,0.258221423626,6.04600391388,0.056898277998,1.64507965088,1.63335020065,11.8355852509,5.26284313202,0.0515540465713,0.533282101154,0.257669985294,5.49691820145,0.0515540465713,1.20773267746,1.92396855354,10.7597618103
15,5.63316555023,0.0551044802368,0.616832463741,0.326844655275,5.8589699173,0.0551044802368,1.49185614586,1.70986484528,11.4921354675,5.21616840363,0.0500473156571,1.4540579319,0.376654595137,5.28810501099,0.0500473156571,0.656245946884,1.89382970333,10.5042734146
16,5.68329650879,0.0547273419797,1.24783828735,0.574079790115,5.73085868835,0.0547273419797,0.961053152084,1.3364876461,11.4141550446,5.31043577194,0.0503896288574,1.07614612579,1.35478246212,5.33064317703,0.0503896288574,2.0674571991,0.565541505814,10.641078949
17,5.78260251999,0.0554078729451,0.905571047068,1.22874515057,5.81949520111,0.0554078729451,1.85082354546,0.652420539856,11.6020980072,6.15383005142,0.0598598606884,0.347333192825,1.04714107513,6.6199798584,0.0598598606884,5.49564361572,0.560326695442,12.773809433
18,6.08273935318,0.0588885605335,0.446018366814,1.20880271912,6.44735897064,0.0588885605335,4.6851048708,0.615912959576,12.5300986481,5.45583724976,0.0530695430934,0.464891284704,0.739846527576,5.73734092712,0.0530695430934,3.13522863388,0.884547889233,11.1931781769
19,5.69704612732,0.0553503397107,0.586024334431,0.749950098991,5.96874977112,0.0553503397107,3.07822918892,0.974781515598,11.6657962036,4.93470811844,0.0482452735305,0.407913029194,0.409605830908,5.34025812149,0.0482452735305,3.58423542976,1.28878748417,10.2749662399
20,5.33257394791,0.0519981910288,0.68389649868,0.359315522909,5.61148262024,0.0519981910288,2.4338839674,1.39841417313,10.9440565491,4.87748432159,0.0474425293505,0.642296493053,0.405560821295,5.0206246376,0.0474425293505,1.29665076733,1.18260788918,9.89810943604
21,5.34977539063,0.0519217440486,0.686547086239,0.604975328445,5.45633808136,0.0519217440486,1.38154558182,0.975602316856,10.8061139297,4.76403570175,0.0463906489313,0.139559686184,0.825506091118,5.00881576538,0.0463906489313,2.75064826012,0.662217080593,9.77285194397
22,5.12354101181,0.049957934916,0.181616882086,0.81117954731,5.39503364563,0.049957934916,2.99104043961,0.716680916548,10.5185748291,4.61208486557,0.0450618490577,0.181555062532,0.592673361301,4.89818525314,0.0450618490577,2.68847537041,0.94675809145,9.51027011871
23,4.95053983688,0.0482756465673,0.361398713589,0.583540284038,5.16361001968,0.0482756465673,2.06212820053,1.01351313591,10.1141498566,5.06291389465,0.0496541261673,0.380985736847,0.309083372355,5.33658409119,0.0496541261673,1.87471461296,1.55205893517,10.3994979858
24,5.05456188202,0.0491496141255,0.486669807434,0.624346504211,5.2347013855,0.0491496141255,1.79995287418,1.11245889187,10.2892634201,4.85330486298,0.0471488125622,0.358194321394,0.740895152092,5.01688575745,0.0471488125622,1.83540272713,0.899497032166,9.87019062042
25,4.8400909996,0.0469395801425,0.53769918561,0.638464810848,5.00789468765,0.0469395801425,1.71392278671,1.14027894974,9.84798568726,4.70944213867,0.0456494875252,0.37148436904,0.788199365139,4.92618751526,0.0456494875252,2.41694688797,0.910186946392,9.63562965393
26,4.74278110504,0.0457656575739,0.538735010624,0.838103419542,4.88518157959,0.0457656575739,1.9128988266,0.887944059372,9.62796268463,4.32980871201,0.041808873415,0.485104471445,0.71864759922,4.48490428925,0.041808873415,1.75296020508,1.00174975395,8.81471252441
27,4.76764829636,0.0456490153074,0.830570604801,0.911388013363,4.83542154312,0.0456490153074,1.62697466373,0.792715950012,9.60306983948,4.58756971359,0.0444085821509,0.217290043831,0.964193463326,4.82601642609,0.0444085821509,2.8084051609,0.757545650005,9.41358566284
